corpus;match_position;left context;match;right_context;Kodning;text_gender;corpus_id;text_nationality;text_illustrations;text_subtitle;text_publisher;text_id;text_pseudonym;text_pages;text_source;text_surname;text_file_id;text_year;text_typeface;text_volume;text_price;text_title;text_firstname
MeMo corpus v. 0.5;12343554;gjør Pokker gjør jeg , om jeg saa skal ligge her til Dommedag . — Det lader til , af;Skæbnen;ikke for det Første bliver kjed af af forfølge os ! mumlede Knud med et Suk . Stakkels Ingeborg ,;0;m;MEMO_ALL;;n;Original romantisk Fortælling;A. Behrend;1876_Borring_FaergemandensDatter_1;;588;KB;Borring;130024031897;1876;gothic;1;4;Færgemandens Datter;Emil
MeMo corpus v. 0.5;22977994;Enten—Eller , enten Liv eller Død — saa levende var den almindelige Interesse for og Deltagelse i den dømte Forbryders;Skæbne;. Pludselig gjorde Bødlen , søm hidtil havde staaet ubevægelig og med korslagte Arme , . en Bevægelse . Han;0;;MEMO_ALL;;n;Original Roman fra Nutiden;Simonsen & Co.;1880_RH_ArbejderBankierOgBaronEllerLykkensOmskiftelser;R.H.;750;KB;;130024104401;1880;gothic;;5;Arbejder, Bankier og Baron eller Lykkens Omskiftelser;
MeMo corpus v. 0.5;2999881;op med paa Dækket , og tiltal Eders Folk , at de forholde sig rolige og finde sig i deres;Skjæbne;. “ Capitaineu adlød , og alle hans Folk bleve afvæbnedæ . Peder kaldte derpaa to af sine Folk ,;0;;MEMO_ALL;;y;Englænderne i Kjøbenhavn 1801 og Kjøbenhavns Bombardement 1807. En historisk Fortælling, grundet paa sande Begivenheder;A. Christensen;1871_L.F._Capercapitainen;L.F.;720;KB;;130024103871;1871;gothic;;;Capercapitainen;
MeMo corpus v. 0.5;30798922;"ikke ; man har en Tro , eller man har ingen . I sidste Tilfælde kån der indtræffe Vendinger i";Skæbnen;, hvor man bør tage Parti . Hvis jeg var Dem , saa valgte jeg . Deres Bevæggrunde ere i;0;f;MEMO_ALL;dk;n;;Schubothe;1884_Schjoerring_EsthersHistorie;;216;KB;Schjørring;130024222382;1884;roman;;2,75;Esthers Historie;Johanne
MeMo corpus v. 0.5;458010;Fortiden ud af mit Hjerte , vil glemme mig selv og min Sorg — modtage den skjæbnesvangre Posf , som;Skjæbnen;"har tiltænkt mig ; — jeg vil der gjøre saameget Godt , som det staaer i min Magt , og";0;;MEMO_ALL;;n;Original Roman;B. Diederichsen;1870_Anonym_TestamentforfalskningenEllerBetlerskenFraChristianshavn_2;[anonym];470;KB;;130023292425;1870;gothic;2;;Testamentforfalskningen eller Betlersken fra Christianshavn;
MeMo corpus v. 0.5;42072635;Glemsel , og Deres Handlinger har jeg ingen Ret til at dømme . At mit Liv løb i Haardknude var;Skæbnens;Gang og hænder saa mange . « o » Men Bagtalelsens Ord fandt Vej til mine Tanker , - der;0;m;MEMO_ALL;dk;n;;Jydsk Forlags-forretning;1891_Meldgaard_BrydningerEllerIvarOgSigrid;Sigurd Lind;317;KB;Meldgaard;130022059948;1891;roman;;3,5;Brydninger eller Ivar og Sigrid;Anders Jensen
MeMo corpus v. 0.5;62637026;Det var ingen glødende Elskovserklæring , men et vel overlagt og vel overvejet Spørgsmaal , om Ellinor turde knytte sin;Skæbne;til hans . Om hun turde ! Hun kastede sig ind til hans brede Bryst med en Voldsomhed og Jubel;1;f;MEMO_ALL;dk;n;Fortælling;Gyldendal;1899_Reumert_Klitrose;;172;KB;Reumert;130024225500;1899;roman;;2,5;Klitrose;Ellen
MeMo corpus v. 0.5;29419608;— visselig , — thi hun var en gudhengiven Kvinde , og svin en saadan knurrede hun ikke over den;Skæbne;, der havde rammet hende , men gjenvandt atter Ro og Fred i Sindet . — Hun paatog sig endog;0;;MEMO_ALL;dk;n;Fortælling;Schou;1883_Wermuth_FamilienFraAalbaek;;286;KB;Wermuth;130024222412;1883;gothic;;0,75;Familien fra Aalbæk;C. A
MeMo corpus v. 0.5;18564300;selv om han krænker og haaner hende , stoler hun paa ham og lider for ham . Hvorfor fører da;Skæbnen;hende atter og atter i min Favn ? Hvorfor vedbliver den ligesom tirrende og udfordrende at sige : Se her;0;;MEMO_ALL;;n;Original romantisk Fortælling;A. Behrend;1878_RygaardHa_PerlefiskerensSoen_2;;666;KB;Rygaard;130024033857;1878;gothic;2;4;Perlefiskerens Søn;Harald
MeMo corpus v. 0.5;30004775;— jeg — — jeg tror ikke på den fri vilje . Jeg er fatalist , jeg bøjer mig for;skæbnen;. “ Forstærkningen kom ind . Madsen , Hansen , Jensen og Prom tog hattene af . Sandberg rejste sig;1;m;MEMO_ALL;dk;n;En Studie;Schønberg;1884_Kjerulf_EnBundenMand;;170;KB;Kjerulf;130023415241;1884;roman;;2;En bunden Mand;Edgar
MeMo corpus v. 0.5;17047110;en Vanvittig . Den ene Gang efter den anden raabte han sin Søns eller Ingas Navne og beklagede jammerligt Begges;Skjæbne;. — O ! stønnede han , — hvilken Skjæbne er der dog tilfaldet det stakkels Pigebarn , min Søn;0;;MEMO_ALL;;n;Original historisk Roman;Adelgade 9;1877_Vinter_EbbaBraheEllerKongensBrud;;1270;KB;Vinter;130024221912;1877;gothic;;;Ebba Brahe eller Kongens Brud;Knud
MeMo corpus v. 0.5;42954663;frygtede for , at han i sin Harme skulde gøre en eller anden overilet Handling og komme til at dele;Skæbne;med Anna Mejnstrup . Men der blev ingen Lejlighed dertil . Han fandt Byen rolig , da Greverne med hele;0;m;MEMO_ALL;dk;n;Historisk Roman fra Grevefejdens Tid;Erslev;1892_EwaldHF_ClaraBille;;440;KB;Ewald;130023414776;1892;roman;;5,5;Clara Bille;H.F.
MeMo corpus v. 0.5;19401110;. — Ak , Glæden kommer aldrig mere til mig ! Men jeg maa finde mig deri og bære min;Skæbne;med Taalmod , naar kun min Søns Dage maa blive lysere . — Efter en regnfuld Dag kommer der næsten;0;m;MEMO_ALL;;n;Original romantisk Fortælling;A. Behrend;1879_Borring_DalpigenEllerSlottetISorento_2;;584;KB;Borring;130024031943;1879;gothic;2;4;Dalpigen eller Slottet i Sorento;Emil
MeMo corpus v. 0.5;18481308;mig dø i Fred . — O , nei , svarede hun , det er netop som et Vink af;Skæbnen;"; jeg søger en ung Pige og hun løber nu lige i Armene paa mig ! Følg De kun med";0;;MEMO_ALL;;n;Original romantisk Fortælling;A. Behrend;1878_RygaardHa_PerlefiskerensSoen_2;;666;KB;Rygaard;130024033857;1878;gothic;2;4;Perlefiskerens Søn;Harald
MeMo corpus v. 0.5;57280199;end kristelig Taalmodighed til at sidde og spilde sin bedste Ungdom i Selskab med dig . Men jeg betragtede min;Skæbne;som et Kors , der nu engang skulde bæres , som en Guds Tilskikkelse , det var Synd at knurre;0;m;MEMO_ALL;dk;n;Fortælling;Det Nordiske Forlag;1898_Bergstroem_BraendteSkibe;;235;KB;Bergstrøm;130021308243;1898;roman;;3,5;Brændte Skibe;Hjalmar
MeMo corpus v. 0.5;11605402;ikke med til vor Bestilling . Desuden , de gode Damer ere naturligvis beregnende Koketter , som ikke fortjener bedre;Skæbne;. — Jeg synes netop at mærke , at de flet ikke vidste , i hvilket Selsfab de var kommet;0;;MEMO_ALL;;n;Original romantisk Fortælling (grundet paa virkelige Fakta);A. Behrend;1875_Vende_LeonieEllerEnNatIMinerne_2;;590;KB;Vendé;130024033709;1875;gothic;2;4;Leonie eller En Nat i Minerne;James
MeMo corpus v. 0.5;24815821;der alt er antydet , sad Degnen Fris hjemme og vaandede sig under al den Uro , som den nedrige;Skæbne;havde sendt ind i en Tilværelse , hvis højeste Stræben var Bo og jævn Bekvemmelighed . Han var gaaet ind;0;m;MEMO_ALL;dk;n;Fortælling;Reitzel;1881_Schandorph_ThomasFrissHistorie;;684;KB;Schandorph;130024104398;1881;roman;;8;Thomas Fris's Historie;Sophus
MeMo corpus v. 0.5;27394022;hvorfor ikke tilstaa det med Ord , som dog saa mangen Gang rørte sig i min Tanke , at havde;Skjæbnen;givet mig en bedre Lod , da havde Du heller taget mig til Husbond end nogen Anden . Alen sent;0;m;MEMO_ALL;dk;n;En Fortælling fra Valdemarstiden;Jordan;1883_Bondesen_IngeborgsMedgift;Henning Fox;248;KB;Bondesen;130023414660;1883;roman;;2;Ingeborgs Medgift;Ingvor 
MeMo corpus v. 0.5;44613840;. Siden jeg for et Par Dage siden fik Underretning om det passerede , har jeg grublet over vor tunge;Skæbne;"og ikke kunnet overvinde min Ulyst til at bedrøve ogsaa dig ved et Brev ; men det nytter jo ikke";0;m;MEMO_ALL;dk;n;Social-politisk Roman;Henriques & Bonfils;1892_Secher_HoerupsValgkredsAar1902;anonym;235;KB;Secher;130024035469;1892;gothic;;1,4;Hørups Valgkreds Aar 1902;Villiam
MeMo corpus v. 0.5;63453505;Erik , for alt hvad Du skænker mig . Ak , hvor kunde jeg nogensinde beklage mig over min ublide;Skæbne;, naar en saa stor Lykke tilsidst blev mig- beskaaret . — Ogsaa jeg var mangen Stund utaalmodig- ' udbrød;0;;MEMO_ALL;dk;n;Original romantisk Fortælling;Nørrejydsk Forlag;1899_Wende_KjaerlighedensKamp_2;;590;KB;Wende;130024036392;1899;gothic ;;4,16;Kjærlighedens Kamp;J
MeMo corpus v. 0.5;;;;;;;;;;;;;;;;;;;;;;;
MeMo corpus v. 0.5;11343427;dem siddende rige og fornemme unge Mand , som med varm Interesse beskjæftigede sig med en gammel , udlevet Taterfles;Skjæbne;og ikke havde betænkt sig paa af tilbyde hende et Hjem under sit eget Tag . Det kostede Julie Møie;0;f;MEMO_ALL;dk;n;Original Fortælling;Jordan;1875_Tommesen_HerredfogdensDoettre;[anonym];381;KB;Tommesen;130024221904;1875;gothic;;3;Herredsfogdens Døttre;Julie
MeMo corpus v. 0.5;61475692;ét efter at have omskiftet det timelige med det evige gik denne Vej , snart betonede , at denne fæle;Skæbne;først ventede dem efter Kødets Opstandelse om saa og saa mange hundrede eller tusinde Aar . Altsaa : I Gehennas;0;m;MEMO_ALL;dk;n;;Jydsk Forlags-forretning;1899_JensenH_Spoegeri;Af Forfatteren til Fordømmelseslæren;159;KB;Jensen;130022984862;1899;roman;;2,25;Spøgeri;Hans
