corpus;match_position;left context;match;right_context;Kodning;text_gender;corpus_id;text_nationality;text_illustrations;text_subtitle;text_publisher;text_id;text_pseudonym;text_pages;text_source;text_surname;text_file_id;text_year;text_typeface;text_volume;text_price;text_title;text_firstname
MeMo corpus v. 0.5;21122055;“ svarede Arnkiel med et Smil . „ Talemaader , min unge Ven , Talemaader ! Vi har ingen anden;Skjæbne;, end den vi bereder os selv . Det er maaskee en temmelig drisfig Livsanskuelse , men det er nu;1;m;MEMO_ALL;dk;n;Original Roman;Carl Lund;1879_Soerensen_SkarpretterensDatter;Carl Hermann;428;KB;Sørensen;115704009028;1879;gothic;;;Skarpretterens Datter;Carl
MeMo corpus v. 0.5;53229578;til at gaa til Brudeskamlen . Det forekom ham som en Frækhed at ægte Hanne , som om han ingen;Skjæbne;havde over sig . Og alligevel kunde han kun tænke paa at skyde dette Giftermaal ud , ikke paa helt;1;m;MEMO_ALL;dk;n;Roman i fem Bøger;Gyldendal;1896_Gjellerup_Moellen;;523;KB;Gjellerup;130024100236;1896;roman;;7,5;Møllen;Karl
MeMo corpus v. 0.5;18235550;var Kapitain Turnbill , som døde ! o , Frøken Clayrmont , frels mig , jeg venter paa samme frygtelige;Skjæbne;"; løs mine Baand , lad mig flygte inden de komme ! jeg er et slet Biennesfe , en Usling";0;m;MEMO_ALL;dk;n;Original Roman;W. Janssen;1878_MoellerL_BlancaVillemontEllerSteppejaegerensBrud;Louis de Moulin;607;KB;Møller;130024221920;1878;gothic;;;Blanca Villemont eller Steppejægernes Brud;Louis
MeMo corpus v. 0.5;45653627;an med Engelskmanden , og som nu næppe gad tale derom . Dog fik det næsten strax Indflydelse paa hans;Skjæbne;, thi Overførsteren paa Egelund , der fattede Interesse for ham , fik ham anbragt i Lære hos Skovfogden i;0;m;MEMO_ALL;dk;n;En Fortælling fra Kulsvierlandet i Kapertiden;Reitzel, Grøn;1893_Helms_Grib;;240;KB;Helms;130019446728;1893;roman;;3,75;Grib;Johannes
MeMo corpus v. 0.5;9156852;komme og kræve dette Barn tilbage . . . hun tilhører kun mig . . . jeg raader for hendes;Skæbne;, til hun har fuldført min Hævn . . . ogsaa . . . ? Saavidt rar Grosserer Levin kommen;1;;MEMO_ALL;;n;Original Nutidsroman;P. Olsen;1875_Hjelm_KoebenhavnskZigeunerliv;Robert Hjelm;878;KB;;130023292581;1875;gothic;1;16;Københavnsk Zigeunerliv;
MeMo corpus v. 0.5;27402462;der møde . Ingen gaar fri . Hvor ere dog ikke dine Kaar blide , naar Du betænker , hvad;Skjæbne;den forrige Husfrue paa Flintholm fik ! Der var Kjærlighed og Lykke og Glæde nok at begynde med , men;0;m;MEMO_ALL;dk;n;En Fortælling fra Valdemarstiden;Jordan;1883_Bondesen_IngeborgsMedgift;Henning Fox;248;KB;Bondesen;130023414660;1883;roman;;2;Ingeborgs Medgift;Ingvor 
MeMo corpus v. 0.5;47188260;Løfte , betog ikke alene Modløshed mig , men jeg syntes ligesom at begaa en Brøde ved at binde din;Skjæbne;til min . Uklare , men forstyrrende Billeder strømmede i det afgjørende Øjeblik ind paa mig , og havde jeg;1;f;MEMO_ALL;dk;n;Fortælling;Reitzel, Grøn;1894_Bjoernsen_EnKvinde;Elisabeth Martens;495;KB;Bjørnsen;130002482437;1894;gothic;;3,5;En Kvinde;Louise 
MeMo corpus v. 0.5;41509352;troede — Du gjør det ikke , jeg ved , Du gjør det ikke — men hvis Du troede paa;Skæbnen;, saa vilde Du muligvis opfatte dette Møde , som om det var udsprunget af noget mere end et rent;1;m;MEMO_ALL;dk;n;En Fortælling;Schou;1891_AndersenFO_EtBrud;;236;KB;Andersen;130023487250;1891;roman;;3;Et Brud;F. O.
MeMo corpus v. 0.5;33299683;i deres Tæpper og lagde sig til Hvile . De vare Begge udmattede og næsten blindede , og den samme;Skjæbne;var bleven de stakkels Dyr til Del . Man tænkte ikke paa at udstille Vagt , da den eneste Fjende;0;;MEMO_ALL;;n;En Fortælling af det virkelige liv;J. C. Jensen;1887_Anonym_ArvesagenEllerSoesterkaerlighedOgProkuratorkneb;[anonym];619;KB;;130024229034;1887;gothic;;2,6;Arvesagen eller Søsterkærlighed og Prokuraturkneb;
MeMo corpus v. 0.5;11797714;"ranke Skikkelse , og hun , den smukke , lyshaarede Kvinde , syntes skabt til at elske hinanden ; men";Skæbnen;"er ofte ubønhørlig og lunefuld . Saa skiltes de da . Ole nedbøjet og bedrøvet ; det var Harn som";0;;MEMO_ALL;;n;Original romantisk Fortælling;A. Behrend;1876_Albertius_KlokkenIRosendalen_1;;1265;KB;Albertius;115708022151;1876;gothic;;4;Klokken i Rosendalen;Claudius
MeMo corpus v. 0.5;15571802;havde antaget ham for . Sorgen over hans eget Fejlsyn , Samvittighedsnag , Uro og Ængstelse for hans forsvundne Datters;Skæbne;nedbrød efter hin Katastrofe hurtig den gamle Godsejers Kræfter . Han fæstede ingen Sinde Lid til Rygterne om , al;0;;MEMO_ALL;;n;Original Nutidsroman;Nyt Forlagsbureu;1877_Hjelm_DoedensHemmeligheder_1;Robert Hjelm;1422;KB;;130023480574;1877;gothic;;3;Dødens Hemmeligheder;
MeMo corpus v. 0.5;6444553;hen til en gammel Dragkiste og fremtog en Bog , i hvilken der var gjort nogle Optegnelser . — Underlige;Skæbne;", mumlede han ; hvorfra kom denne Tanke , var det ikke som om den netop vilde bestyrke mig i";0;;MEMO_ALL;;n;Original romantisk Fortælling;A. Behrend;1874_Albertius_BjergmandensRing_2;;1265;KB;Albertius;115708022146;1874;gothic;;4;Bjergmandens Ring 2;Claudius
MeMo corpus v. 0.5;10745258;Grad af Overtro , kunde Almuen det naturligvis langt mindre . Astrologien gik fornemlig ud paa , at forudsige Menneskenes;Skjæbne;ved at tage Hensyn til Himmellegemernes Stilling i dets Fødselsøieblik eller som man kalder det at stille Nativitcter eller Horoskoper;0;m;MEMO_ALL;dk;y;Original-fædrelands-historisk Skildring fra det 16de Aarhundrede, med Portræter;Carl Lund;1875_SoerensenC_SkjaebnensVeie;Carl Hermann;776;KB;Sørensen;115704008981;1875;gothic;;2;Skjæbnens Veie;Carl
MeMo corpus v. 0.5;7177595;over vor Familie . ' Jeg tror det , og jeg vil ikke have , at Nogen skal dele denne;Skæbne;med mig . Derfor vil jeg leve ene og dø ene . Jeg har vel hørt hvad der senere er;0;;MEMO_ALL;dk;n;Historisk Roman;P. Olsen;1874_Karstens_GrevindeDanner_1;;736;KB;Karstens;130023648076;1874;gothic;1;;Grevinde Danner;Kamillo
MeMo corpus v. 0.5;51599066;at finde Vejen til alle sine Drømmes Maal . Den lille Karavane var dog ikke kommen langt . Da nemlig;Skæbnen;"vilde , at Solen , deres eneste Vejviser , denne Dag slet ikke lod sig se ; da desuden den";0;m;MEMO_ALL;dk;y;Et Tidsbillede;Philipsen;1895_Pontoppidan_DommensDag;;281;KB;Pontoppidan;130020728575;1895;roman;;4;Dommens Dag;Henrik
MeMo corpus v. 0.5;63624708;var pludselig bleven saa lette og elastiske . PIvilken Indflydelse , disse Papirers Tab havde paa Hostrups og hans Families;Skæbne;, skal Læseren senere erfare . XI . Paa Rejse . De Urter , som Jægeren havde forordnet , at;0;m;MEMO_ALL;dk;n;;Emil F. Petersen;1899_Worm_ForbrydelsernesKongeEllerDenSkalperedePraest;anonym;888;KB;Worm;130024225721;1899;roman;;3,3;Forbrydelsernes Konge eller Den skalperede Præst;Peter Anton
MeMo corpus v. 0.5;5641518;gaar løjerligt stil i denne Verden , “ tænkte han , „ men hvem kan sætte sig op imod sin;Skæbne;? “ Grossererens Ejendom paa Kongens Nytorv vender ud til den tidligere saa bekendte nu nedlagte Have i Store Kongensgade;0;m;MEMO_ALL;dk;n;Socialistisk Roman;C. Würtz;1873_Soerensen_EnKvindeAfFolket;"Henry Levald; Peter Levald";695;KB;Sørensen;130024221475;1873;gothic;;;En Kvinde af Folket;Carl
MeMo corpus v. 0.5;6174801;fortvivlet , tale om Selvmord og lignende Ting , men dog lidt efter lidt med Resignation sinde sig i sin;Skæbne;. — Jeg kan ikke nægte , at De vilde bevise mig en stor Glæde , hvis det kunde lade;1;;MEMO_ALL;;n;Original romantisk Fortælling;A. Behrend;1874_Albertius_BjergmandensRing_1;;1265;KB;Albertius;115708022133;1874;gothic;;4;Bjergmandens Ring 1;Claudius
