corpus;match_position;left context;match;right_context;Kodning;text_gender;corpus_id;text_nationality;text_illustrations;text_subtitle;text_publisher;text_id;text_pseudonym;text_pages;text_source;text_surname;text_file_id;text_year;text_typeface;text_volume;text_price;text_title;text_firstname
MeMo corpus v. 0.5;59251788;„ Jeg egner mig kun daarligt til ridderlige Idrætter , “ svarede Dværgen med et mat Smil . „ Kanhænde;Skjæbnen;er Eder gunstig , saa I kan blive Dommer i Legen , “ svarede Otto Grib , „ men I;0;m;MEMO_ALL;dk;y;Historisk, romantisk Skildring fra Christian den Andens Tid;Carl Lund;1898_RygaardHo_Kongesvaerdet;;877;KB;Rygaard;115704008887;1898;gothic;;5,5;Kongesværdet;Holger
MeMo corpus v. 0.5;31987141;som stadig løser Billet og kører med . Ud af denne Kastes Tilværelse tog jeg Vidunderbarnets Billede . Charlot Duponts;Skæbne;rørte mig , fordi man her saa tydeligt saa ’ det : at her valgtes ikke . Man blev ikke;0;m;MEMO_ALL;dk;n;Fire Livsbilleder;Schou;1886_BangH_StilleEksistenser;;436;KB;Bang;130011110275;1886;roman;;5,5;Stille Eksistenser;Herman 
MeMo corpus v. 0.5;3799359;skyndte sig bort . Folkman kom pludselig til at tænke paa sin Drøm . Det var et sælsomt Træf af;Skjæbnen;, der netop lod den fattige Kone krydse deres Vei og udtale Ord , som syntes bestemt at hentyde til;0;m;MEMO_ALL;dk;n;;Jordan;1872_Gioerup_GadenOgHjemmetEllerTaterlivIKjoebenhavn;[anonym];150;KB;Giørup;130024100260;1872;gothic;;1,66;Gaden og Hjemmet eller Taterliv i Kjøbenhavn;Michael 
MeMo corpus v. 0.5;44060223;paa din Ellen . “ „ Og Du ? “ „ Jeg vil bede for din Lykke og overlade min;Skæbne;til den guddommelige Naade og Retfærdigheds Styrelse . Georg har indgydt mig Mod , han haaber ogsaa , at Mannel;0;m;MEMO_ALL;dk;y;;A. W. Henningsen;1892_Richter_DonRedandoEllerKaerlighedOgKamp_1;;639;KB;Richter;130024101496;1892;gothic;1;(se note);Don Redando eller Kærlighed og Kamp;Hans
MeMo corpus v. 0.5;8137505;Dækket . Han saae kun Himmel og Hav og langt , langt borte Kysten af det Land , hvor hans;Skæbne;havde Laget en saa uheldig Vending . — Min Gud , jeg takker Dig , sagde han og foldede Hænderne;0;;MEMO_ALL;;n;Original romantisk Fortælling (grundet paa virkelige Fakta);A. Behrend;1874_Vende_LeonieEllerEnNatIMinerne_1;;652;KB;Vendé;130024033814;1874;gothic;1;4;Leonie eller En Nat i Minerne;James
MeMo corpus v. 0.5;12875502;jo ikke at sige , hvem denne gamle Mand er . Kaptajn Holm ! Kaptajns Holm , der lider den;Skæbne;, som Olaf Lunds Hævn har beredt ham . Han er atter standset for nogle faa Øjeblikke og har løftet;0;;MEMO_ALL;;n;Nutidsroman;P. Olsen;1876_Hjelm_OerkenensSlange_2;Robert Hjelm;763;KB;;130024227589;1876;gothic;2;;Ørkenens Slange;
MeMo corpus v. 0.5;59462324;, men nu seer jeg atter for mig hans besynderlig forundrede Mine , og jeg mindes den Ømhed for min;Skjæbne;, han den Gang lagde for Dagen . . . Store Gud ! Det er altsaa muligt ! “ „;0;m;MEMO_ALL;dk;y;Historisk, romantisk Skildring fra Christian den Andens Tid;Carl Lund;1898_RygaardHo_Kongesvaerdet;;877;KB;Rygaard;115704008887;1898;gothic;;5,5;Kongesværdet;Holger
MeMo corpus v. 0.5;42818785;som Grækerne kaldte dem , det vil sige : saaledes udrustet fra Naturens Haand , at Guderne eller den uransagelige;Skjæbne;var nødt til for Balancens Skyld selv at hæmme dem i Væxten . Antonius følte hele Rædslen i den nedtyngende;0;m;MEMO_ALL;dk;n;En Historie;Mansa;1892_BruunL_Antonius;;147;KB;Bruun;130021108295;1892;roman;;2;Antonius;Laurids
MeMo corpus v. 0.5;42926997;jeg mig , « sagde Jens yderst forbitret , » at være eders Lige i noget af det , som;Skæbnen;og Lykken giver med blinde Øjne . Jeg er af Fødsel en ' Almuesmand , men kommen af gode ,;0;m;MEMO_ALL;dk;n;Historisk Roman fra Grevefejdens Tid;Erslev;1892_EwaldHF_ClaraBille;;440;KB;Ewald;130023414776;1892;roman;;5,5;Clara Bille;H.F.
MeMo corpus v. 0.5;21433916;gjort Dem Meddelelser , som kun den kan være vidende om , som har Deres Vel paa Hjerte . Deres;Skjæbne;"interesserer mig ; jeg betragtede Dem , da Alfred affyrede hint skjæbnesvangre Skud paa Dem ; jeg var tilstede den";0;;MEMO_ALL;;n;;Andersen;1880_Andersen_DenGodeAlvilda;;416;KB;Andersen [ikke HCA];130023572223;1880;gothic;;na;Den gode Alvilda;H.C.
